,data
857,"I flew from Milan to Cochin via Delhi last week. The Flight was delayed 2 hours 45 minutes which was notified by the airline earlier that day. Dinner was served very quickly after take off and then passengers went to sleep. 4-5 hours later breakfast was served which was okay. I wanted to purchase some duty free products on board and I had to call the cabin crew, no one responded for nearly an hour, I found them chatting with their colleagues and when I asked for the duty free brochure list I was told, ""Sorry Sir, we are going to land in 45 minutes and the duty free shop is closed"". I was disappointed with their reply and had to return to my seat. The overall experience was below average for an Intercontinental flight. "
858,"Very often you see an airline getting knocked down for poor service, and this makes it more worthwhile being in a position to write a positive report. AI's fare was lowest among the full service carriers and offered a pretty reasonable connecting time to Goa, India. It is for this reason that AI becomes my primary choice, and then I compare the service. Flight left on time, the service was friendly with many smiles, seats comfortable, clean cabin (don't know about the toilets), drinks followed by dinner was better than average, water offered every hour or so during the flight. The only negative is that the movies were dated - but I was okay with a re-run of Batman, which just about put me to sleep. The second leg BOM-GOI was about 50 mins, also on time, with a sandwich and packaged juice. and mediocre entertainment (didn't matter)."
859,"AI 214, 4th Aug - Did not have high expectations from this airline and they did not disappoint. The plane was newish and seats came with good legroom. The flight manager was rude. Food was pastry and some indian sweets, no drinks offered besides water whislt Nepal Airlines serve a full meal and drink service on this sector. They kept mentioning being a Star Alliance member but never acknowledged passengers with Gold membership."
860,"Legroom comfortable, cabin very quiet and LED lighting gives a great feel. Charging and USB socket on every seat very helpful. The crew were smiling and courteous, and food extremely good. Best service to date with Air India, except for the immigrations and customs in Delhi which could be done directly in Bangalore."
861,"The positives: The Dreamliner is an excellent and new aircraft and for once everything on it worked and was clean and well maintained. The lie flat bed in business was excellent. Much more spacious than the United product or the Smartium business bed on Asiana and others. The layout of the seats is a bit different - less privacy but more open feeling and real space. Comfy duvet and blankets provided on this night flight. Cabin crew although older (55+) were very well trained, warm, polite and efficient. They came around repeatedly talking to the passengers and making sure we were comfortable and seemed to genuinely care. In fact their efforts helped overcame the other deficiencies in the hard product. Compared to the brusque automatons on United these folks were full of smiles and eager to please. Also the Indian food selection was delicious. The negatives: compared to the premium airlines AI is clearly not as polished or well organized. Meals were provided all at once in a single tray - not course by course as on other airlines. Menus was not provided. Wine choice was very limited. Champagne was served lukewarm. After dinner the crew disappeared and did not patrol the aisles refilling glasses - but then passengers were asleep and I'm sure if anyone had requested they would have come right away. Movie selection though limited was not as bad as I had imagined. It would be nice to have served a quick snack or wake-up drink prior to landing. It was strange that the only announcement we got to wake us up was the one saying we were preparing to land! Overall a good product and definitely exceeded expectations. Not on par as Singapore, Emirates and Asian carriers but solidly good overall."
862,Flight of 9 hours from Delhi to London on 777-300 series. Managed to book seat 42 which is an aisle seat in line of 3 with no seat in front of it. Great leg room plus middle seat next to me was empty. 2 meals offered plus drinks and flight was on time. Crew worked hard at offering water and juice during flight and arrived in London dead on time.
863,Evening flight from Heathrow on Air India 777-300 to Delhi. Left on time and arrived slightly early 2 meals offered plus drink service. Plenty of time to sleep and arrive refreshed at lunchtime Delhi time Again managed to book seat 42 with no seat in front but did move in flight to an empty row of 3 which allowed some better sleep. Crew excellent as have been previous flights on Air India
864,Air India Dreamliner from Delhi to Melbourne pulled away from the gate on time but during taxi returned back to a different gate due to a technical issue. Took 1.5 hours to fix during which time lunch and drinks service was offered. Once fault repaired flight underway almost 2 hours late. Little time made up of passage to Melbourne so arrived about 1.5 hours late which did squeeze connections from Melbourne. Air India had rebooked passengers who missed their connections and this was communicated on arrival as to new flight details Flight was comfortable with 2 meals plus snack and drinks offered. Crew again work hard keeping passengers comfortable and well hydrated. This was 4th Air India flight in space of a month and have to say was impressed in the offering. Would definitely fly them again if offered.
865,"Flew Air India Dreamliner from Melbourne to Delhi. Plane very comfortable seating arrangements good with plenty of space even for me at 6’4”, it was a day flight and 2 meals and a snack pack supplied on the journey of 12 hours which was a surprise. Meal choice of Indian veg or meat plus European choice of chicken with pasta. Drinks also offered each service. Crew offered plenty of water or juice throughout the flight and snacks and drinks available in the galley if required. Restrooms kept clean during flight. If there was a downside of Air India perhaps the in flight entertainment is a little limited but was adequate for the flight."
866,"The quality of the airline has deteriorated badly. My first connection BOM-DEL was delayed with prior intimation which was fine. I reached DEL at the eleventh hour when the boarding for PAR had already begun. I met the worst ground staff at DEL airport who don't even know how to behave with a passenger and behave as if doing a big favour. I was not attended by any transit desk people and when contacted the AI staff asked me to run behind people on transit to other destinations that was just so cheap. Next thing was the annoying security check which took nearly 30 minutes with a quick immigration for transit passengers. The flight was quite empty and quite comfortable, with friendly cabin crew. But the flight was mostly full of foreigners and the announcement was missing in French and the really fast Indian English was really sad for the French people who kept asking me to translate what they meant. Arrival in Paris was very smooth. I wouldn't mind flying with AI but I would never ever fly via DEL airport again in my life except for my return flight and I would not mind shelling out some extra chunks for this matter. The ticket was the cheapest even at the last minute."
867,"The flight AI301 scheduled at 7am of 14th May never left Melbourne because of an engine problem. They rescheduled us on a 2pm Thai flight on route Melbourne-Bangkok-Delhi. I got to Delhi at 3am instead of 6pm, when I booked the tickets through the Melbourne office they guaranteed me the transit hotel because my connection was more than 17 hours. When I got to Delhi a rude company attendant told me that they don't give this kind of service so I spent more than 10 hours on the airport. No way to speak with someone from the company during all this time. Air India never again - saved $300 compare with Emirates but a big mistake. Complain to the company and still waiting for an answer."
868,Flight was half empty. Crew were cordial and food was served immediately. The light-changing windows were slightly annoying. Prefer Jet for short-haul and domestic routes.
869,"I read some bad reviews but it was mentioned the 787 was better. Not so in my case. I had an aisle seat. The seat reclining feature didn't work. I was forced to sit upright for the whole red eye flight of over 8 hours. The light switch on the remote didn't work so I couldn't even read. The lady in the window seat also had trouble with her seat. The food was not that great. The cabin staff were fine but not anything special like Emirates. About two hours after take off the cabin and lavatories were trashed. Safety was never an issue. All in all, I will avoid Air India, at least until I see some better reviews."
870,"LHR-ATQ via DEL in Business Class. Check in was a bit busy but we were checked in quick and given our boarding passes for all onwards flights. But we found out at check in that we would have to re-check our bags in at DEL. Air India lounge at LHR is very nice. Good choices of canapés and drinks. Boarding was a complete disaster, there was no separate queue for Business or First class passengers. Boarding drinks with a choice of orange juice or Champagne. Food was not the greatest and the seats were old. Landed in DEL ontime and had to re-check our bags in which was alright because, they have separate queues here. The lounge at DEL was very quiet and we were the only people in the lounge for a while. DEL-ATQ sector had a 2 hour delay because, but on the upside we were upgraded from Business to First which was a surprise. On this short flight we only got served nuts and drinks."
871,"The service was adequate and friendly. Meal choice - Chicken/Fish/Vegetarian on the outgoing flight and kebabs as a big snack for the incoming overnight flight. In all a good return trip between Singapore and Goa via Mumbai. With this level of service, punctuality, leg room and price Air India is a good option. The negatives - I ordered a special (DBML) meal on the return flight but did not get it. Also Air India's online check-in has a glitch - I've faced this problem five times in the past (out of five attempts). The problem - at the end of the online check-in screens after entering passport and visa details, the system flashes an error message. At the airport staff struggle to rectify the error and have to consult manuals/supervisors etc. On the last occasion I tied up one check in counter for 20 minutes while they tried rectifying this problem."
872,"On both sectors shabby aircraft interiors. The general appearance of the staff specially on the return flight was appalling. The grooming standards were low. The stewardess greeting customers in the aisle was leaning on a seat head rest with her hands on her chin and yawning - not the image that Air India wants to portray. The whole service and meal tray could be better. Their website is good and easy to use, the call centre staff are very polite and efficient - the airport in Delhi is a delight."
873,"DEL-LHR - Experience was overall satisfactory, within 20 minutes we reached cruising altitude and immediately snacks and drinks were served. I must say the flight steward looked dazed and did not look motivated. After serving food (very average), our plates were collected and cabin lights were immediately turned off. I did notice a few people wandering around the cabin, looking for a bite to eat and water/drinks. I was able to sleep well. Flight was on time, landed around 10 mins late into Heathrow. LHR-DEL - Experience was again a let down. To begin with we were 4.5 hours late, though we were informed well in advance. We finally boarded the aircraft and the first images of worn out carpets and shabby seat upholstery made the already disgruntled passengers more upset. Food was served very fast and lights were switched off! A couple of hours into our flight I got up to get a glass of water, I asked the air hostesses sitting at the back and they simply pointed their finger at a water dispenser, which I personally found very unprofessional. The experience at new Delhi T3 was a mood changer (for the good)!"
874,"United flight was cancelled so I had to jump to AI. Flew first class and got first class treatment. Personal guide to walk me thru immigration, skip the lines and to the lounge. The lounge is excellent in Mumbai, business and the separate FC lounge. Onboard, seats are private. Service excellent and food is impressive. I have marked down for seat comfort - they lie flat but the cushion padding is poor and the seat is not comfortable. I also take a star off for movie selection - too few movies and too old. For a 15 hour flight I expect several top movies and new movies.  As a final note the new Mumbai airport, international are is impressive."
875,"Flew Chicago to Delhi, business class, June 6 2015. Unlike most of my experience on other flights with Air India the crew disappeared after they served drinks and food. Just no service. On most other Airlines its common to see the crew walking with drinks every 15 mins or so. Well Air India did not think that's necessary. Food is average. Crew do not even bother to check if the amenities in the toilets are there. 
"
876,"Flew DEL-ORD and back. Poorly maintained aircraft B777. Worn out seats. Cleanliness sub-optimal both for the cabin and in the lavatories. Staff only does the process of rushing through meal service thrice during the 15 hour flight and switch off lights rest of the time - unlike some of the good East Asian airlines, there is no one regularly going through the cabin to see if passengers need anything. One can always go back and ask for tea/coffee. There is water/juices kept in the aisle but they really don't come back to see if replenishments are needed. In-flight entertainment inadequate for such a long flight. Flight path either not switched on in time or grossly inaccurate. Safety vests hanging out from below most seats. Food quality and quantity both average. On the forward flight, the salad was spoilt and I had to return it. Only good thing is the cost - I had purchased a hugely discounted ticket - cost far less than what was available on other airlines."
877,I was returning from a business trip in India and was booked onto air India flights. The first leg I flew business class on an A321. This was sub standard for business. The food was poor and the aircraft was very tired and dated. On checking in for this flight the staff were rude and displayed a distinct lack of awareness of time when checking in a large group. They refused to let us use the other business class desks for check in and this resulted in the plane being delayed. Our connection through Delhi was rushed because of this delay with us having to run through the airport. The 777 flight to LHR was outrageous. The staff were not at all attentive the food was inedible and seats uncomfortable. The in flight entertainment was of a low standard for a national airline. Business class was empty and they wouldn't move people who's entertainment was not working.
878,I missed my connecting flight of British Airways from London Heathrow to Mumbai as my first flight of American Airlines was delayed by 2 hours. So I was put on Air India flight 130. It was delayed by 5 hours. But on boarding I just was amazed to sit in the Boeing 787-8 Dreamliner. I like the in-flight entertainment the seat legroom was more than enough and yes the cabin interior was pretty colorful. The food was good enough even though a bit spicy but better than what was on American Airlines. The crew were also polite. Overall experience was pretty good. All Air India needs to do is keep a tab on delays and make sure they continue this trend on other flights as well. I would surely recommend this airline especially the Dreamliner.
879,8th May 2015 AI 603. BOM-Bangalore Executive Class. Comfortable seats savoury meal clean cabin - though signs of ageing visible and courteous staff. Overall a pleasant experience.
880,"BOM-DEL-FRA: Both sectors were operated by 787 Dreamliner. BOM-DEL was early morning flight so they served breakfast which was warm good and filling. On the both the sectors I noticed that cabin crew are quite different. Either one is polite and second is just ""veg"" or ""non-veg"". I am sorry but we are not sitting at a street side cafe. Air India is the flag carrier of India and the crew should understand very well that they are representing our country on foreign land. DEL-FRA sector was delayed by 50 mins but crew member on my row was very polite and welcoming. Cabin crew on other side of row was just disinterested and rude. As I have said before (see below) crew does lack inter-personal skills and need professional training. It was like flying two different airlines being in same aircraft. Cabins need to be regularly cleaned. Toilets should be in perfect condition. Food quality needs to be urgently improved. Captain needs training to interact with passengers on regular period. Its high time AVOD has to be upgraded. AI has to learn a lot all of this from thier own partners TK LH and SQ."
881,"FRA-DEL-BOM: Travelling with AI 2nd time within 3 months and I notice that the staff members are particularly lethargic and disinterested on FRA-DEL sector. Due to LH strike flight was completely booked out and ""old"" crew members of AI couldn't really handle this full flight though I have noticed that younger crew are willing and accommodating. In general crew highly lacks inter-personal skills and are strongly recommended to go through professional training. Another point where AI needs to be stringent is on cleanliness of the aircraft. These Dreamliners are only 2 years old and they are in appalling condition. Washroom glass broken and stuck with cello- tape. Luggage marks on overhead cabins cookie crumbs in seat pocket seat broken and handle is hanging. AVOD has very limited choice and urgently needs to upograde it. Indian food has won several accords world-wide and Air India is doing such injustice to Indian cuisine. They should learn from TK about it. AI needs to revamp its image in order to gain market or else they keep loosing. Next time I will fly with Jet or Turkish."
882,I flew from Ottawa via Montreal via Zurich to New Delhi then onwards to Calcutta. The flight from New Delhi to Calcutta was a total nightmare and I really don't recommend anyone flying with Air India at all. Flight was supposed to leave in the morning but didn't leave until 11.45 am. Staff unprofessional and didn't make this flight pleasant. Inflight entertainment in limited but you should bring your own IPad to watch movies music etc. Never again Air India.
883,Flight from KIX-HKG in Business Class. Although I found the lounge access at KIX mediocre which is shared with Cathay Pacific the Business Class product aboard the Dreamliner with AI is comparable or exceeds standards I have had with other carriers. There were three different meal selections on that flight (the curried chicken I had was delicious) and the seat/lie flat bed was very comfortable. Be careful not to place your mobile on the bottom armrest as there is a gap and it was difficult to retrieve when I reclined and it fell between. The entertainment system was excellent with a wide variety of films and television series. Overall I was very impressed with the service and it's much improved compared to when I last flew AI eight years ago.
884,We had three domestic flights in April 2015 (DEL-UDR-BOM-GOI) all on A319 aircraft. The aircraft interior was quite filthy on all flights. The food and drink service was ok on all flights. However the cabin crew did not pay attention to any safety related issues on any of those flights. Seats were reclined during take off and landing by a lot of passengers little kids were running over their parents laps from across seat rows during take off and cabin crew did not offer belt extensions for securing infants. Air India needs to work on their staff attitude towards safety.
885,"Flew from Heathrow to Delhi in April this year. Cabin staff lack Professionalism. They hardly smile and seem frustrated as they have to serve passengers. There is no sense of customer service. Saw the crew sleeping during the flight instead of serving the passengers. The only question they ask ""veg or non veg"" without any ""Please"". Air India has to improve service to get competitive. The food was horrible. The toilets were disgraceful. The entertainment systems are broken and slow. Finally Air-India captains and crew need to polish up communication skills over the intercom as they have difficulty both in English and Hindi. Yes I still fly Air-India."
886,Flight from ICN to HKG. 12 hour delay. But hotel provided. The 787 was a wonderful aircraft with plenty of legroom. Unfriendly cabin crew they never smiled and they seemed tired.
887,I recently flew DEL-SYD on a 2.5 year old 787. It was in appalling condition. The aircraft was filthy. Many parts of the bathroom were held together with tape. Service was rude when rarely present. Overall a very poor experience.
888,AI 570/571 BOM-MAA-BOM: Booked on airindia.com convenient allows seat selection. Checked in on the web as well without much trouble which allows you to go straight to the security check if you only have a carry-on bag. 570 was a relatively new 319 with good seats and pitch but 571 was an old 320 uncomfortable seating and lighting and very noisy in the front cabin until it had climbed up to cruise altitude. Standard Air India service - decent meals efficient no small talk no cheer. Both flights were nearly on time but a delay of 5-10 minutes in getting a bus to ferry us to the terminal at MAA.
889,AI 933 flight from COK-SHJ on 29/03/2015. We were made to wait for 16 hrs in the airport with them changing the time every two hours and eventually told us the flight was cancelled. After a 16 hr delay they decided to shift the passengers to hotels. Food was not provided. The duty manager refused to attend the problems. Poor quality of communication. Planning not to fly Air India anymore.
890,We travelled Air India business class in December 2014 and recently from London to Mumbai and Delhi to London. We found the plane modern and clean and the crew were delightful. The reviews we read did not resemble our experience and as regular business class passengers on other airlines we were very happy with the experience. The only critique was that the food was a bit limited and not as proficient as other airlines. The seats were spacious and the flat beds very comfortable and we will definitely be using this airline again.
891,Chose Air India as it was the best schedule and best fare for non-stop service JFK-Delhi on B777. Using their website for anything but purchases and seat selection was a waste of time. Endless circles asking and re-asking for information. Calling their help center was also somewhat futile due to language issues and lack of proper training. Our outbound flight was delayed 5 hours but the airline did call and text with the news. So that was decent of them but no apology for the delay and we lost half a day in India. Seats had uncomfortable cushions and were tightly spaced. Luckily the flight was quite empty so most people had 2 or 3 seats to themselves outbound. In-flight AVOD could be good but the touch screens were not working so well and the hand held device was worthless. Flight back was delayed by nearly an hour due to late arrival. Same uncomfortable seats and slow touch screens. Service both ways was efficient limited and far from gracious. Announcements were few. All in all it was a very average flight with below average service. The only reason to use them is the low cost.
892,"Avoid Air India at all costs. The ""Business Class"" was anything but the seats were incredibly uncomfortable and you sit 4"" from the person next to you! There is no room to do work or anything else comfortably. The service was the worst I've had and the food was just as bad. These are very old aircraft and between the seats carpets and disgusting galley the old age shows! The inflight 'entertainment system' is vintage 1980's and the screens are effectively not usable."
893,I flew AI from Newark to Mumbai and it was 100% better than my flight on United. Seats were much comfortable and spacious than other airlines. AI144 was right on time from Newark and I didn't know its a Star Alliance member. I landed 30 mins before schedule to Mumbai and liked the food ambiance and service on board. Many people have wrong perceptions about AI but hope it improves its PR department.
894,The second occasion I have flown with Air India and I must say it was appalling. Whilst my international flight from BHX to DEL was on time as scheduled my connecting (domestic) flight was 2 hours late due to Air India wanting to fill planes before they depart. This happened on one occasion however due to my family members travelling on the same flight on different dates within the space of two weeks they also experienced the same delays for again no apparent reason. There is no communication from the airline and there is no concept of customer service. I experienced further problems on my return flight from ATQ to BHX on 15/3/15. My domestic flight from ATQ to DEL was fine on time and a pleasant flight all to become disastrous on my arrival to DEL at 11.20am. We (ATQ passengers to BHX) were left on board the plane as the plane was to continue on the BHX. The flight was due to leave at 13.15pm however this was delayed by over 2 hours apparently due to a missing manual which it was apparently unsafe to fly without. My family and I were left sitting on a plane for over five hours with no communication food and general ability to move around. On asking flight attendants for information and food both requests were denied. Bigger doesn't not mean better and this was most certainly the case with Air India. I feel Air India clearly do not see any problems with delaying travellers flights and breaking UK consumer laws by providing misleading information to customers.
895,I booked a return trip from Delhi to Kochi two months in advance. When I arrived at the airport my flight simply did not exist. I queued for forty minutes at the 'Help' desk where I explained that I had booked on a flight at 13.30. The man laughed at me and told me that flight was full so I had been moved to one at 18.05. I asked how that could be when I had a ticket for the 13.30 flight and yet it wasn't showing on the board. He then said that there was no 13.30 flight and that there wasn't nothing he could do. I was looking at eight hours in Delhi airport. No apology no explanation. I then asked where the left luggage store was that is advertised on the airport website. He told me it did not exist. Staff insisted that I would have to check the bag at a cost of 30000 Rupees (£300). All staff were unhelpful and rude. Eventually a guy working at the suitcase wrapping stand told me where to find the left luggage store which is in the Metro station. I checked my suitcase for a week for 3500R - £35). Flight was delayed by another two hours - I arrived in Kochi at 1am and missed the beginning of my organised tour. Return flight was just the same - arrive at the airport flight doesn't exist. Not just my flight - lots of passengers had booked on earlier flights but simply been moved. My plane should have left at 4pm giving me lots of time for my connection at 3.40am. We were still sitting at the gate in Kochi at 10.45pm. We only got on the plane after there was a near riot and passengers insisted that the plane not be cleaned but that we should just be allowed to board. I was too late to make my connection back to London. At no point at all did I receive anything like an apology or explanation. This just seems to be how they do business. Never again.
896,Flew PVG-DEL return (and Delhi to Kochi return) in economy. Flight from Shanghai was very smooth super empty Dreamliner left on time very comfortable. The Delhi to Kochi flight was very delayed but otherwise fine. The DEL-PVG leg was a disaster. We took off on time and made very good time there was a storm over Shanghai so we circled twice before landing at an airport about two hours away. Totally understandable these things happen. But we were then held on the tarmac for more than 4 hours with no water and with two of the bathrooms out of order. We got very little information and crew did not push for our release. I understand the Chinese ground staff just didn't come but Air India has to fight for its passengers rights - more than 4 hours with no food or water! We could not use the bathroom! The plane was beginning to smell. This was so poorly handled and has really put me off Air India.
897,I flew Air from Sydney to Delhi and return because it was a non stop flight. On entering the aircraft it looked old and I found that my touch screen did not work. The toilets were disgusting smelt and were stained. Some panels were hanging loose. The floor was awash. On return the aircraft looked newer but the toilets were still disgraceful. I had to fly via Melbourne which was a pain in the neck as we had to disembark in Melbourne and go through a stringent security check again. On take off the cabin crew did not do a safety check of passengers and we took off with one passenger asleep across three seats unrestrained. One passenger had tray table down and that was what I could see from my seat. The cabin crew avoided eye contact at all times. During the long overnight flight from Delhi children were allowed to run amok. Food mediocre. Would never use again.
898,Chicago (ORD) to Delhi (DEL). February 2015. I booked ticket on website and went to the airport with check-in and carry-on bag. I got a surprise at the counter the person told that I can carry only 4 Kg carry-on baggage. This was unexpected. Finally moved some luggage from one bag to other on airport and took receipts of the bag. Onboard: The crew served snacks and water but I needed more water I was searching for crew but couldn't find them. The crew returned after some time and served more food and drinks. On a 14 hours non-stop flight this should be their practice. Food was good - in taste and quantity. Entertainment was okay. Seat was comfortable with enough legroom a very important thing for 14hr non stop flight. What didn't work: 1 or 2 restrooms ran out of tissues towards the end of the journey. Though it was a long journey crew should have done something to improve this. Overall: Apart from the restroom issue I didn't feel that anything went wrong. Overall flight was a very good experience with plenty of foods drinks good seating okay entertainment.
899,Flew from Heathrow to Amritsar in January this year. First they cancelled my 1.15pm flight due to bad weather in Delhi however the connecting flight from Delhi to Amritsar was still going ahead! What about the bad weather in Delhi? I was put on an evening flight the same day. Landed in Delhi at 11.50 am and my connecting flight was now scheduled for 7.30pm. Had I been put on my previous flight I would have landed in time to catch my connecting flight to Amritsar. The flight was again delayed by 3 hours and no explanation was given to us. I have heard that the airline overbooks the seats. Cabin staff don't bother when you ask them for a coffee instead of tea. I asked them for water twice but still didn't get any. They hardly smile and seem very frustrated. We vow never to fly Air India again!
900,"Flew DEL-BOM-DEL on A321 both ways (AI865 and AI888) and was very happy with the AI experience: flights on time cabins relatively clean with the IFE working good hot meals provided both ways and - contrary to some previous reviews - the cabin crews were very good. On BOM-DEL sector we loved the chicken and after telling this to a female flight attendant she soon came back with more chicken and was very happy to serve us more. Absolutely delightful! However the ""signature coffee"" on AI remains very weak year after year but all the rest was excellent on these two domestic flights. Maybe the competition on this trunk route including the new Vistara Airlines keeps Air India alert and they have to put some extra effort to keep their loyal customers coming back."
901,"AI984 GOI-BOM 9 March and AI342 BOM-SIN on 10 March. Check in was quick as I had arrived at the airport early. Both flights left on time. The first flight was short and uneventful/unremarkable. The crew on the second flight were friendly and helpful responding to passengers with a genuinely caring attitude. Meals served and cleared quickly enabling passengers to get some shut eye on this overnight flight. Kebabs served with cut fruit and dessert for the midnight ""snack"". All in all a good experience."
902,Traveled on TRV-SHJ sector during January 2015. The aircraft operated was an Airbus A320. Check in was smooth and hassle free. The inbound aircraft was delayed from MAA (as its a MAA-TRV-SHJ flight) and the departure hence got delayed for around 45 minutes. Frisking by Air India group security was done prior to boarding. The interior seats were comfortable and clean. The attitude of the cabin crew as usually complained was poor. One of the aged crew was serving food even without asking whether non-veg or veg. Few of the passengers including myself had to ask her to change as she simply gave the non veg without asking.It seemed they ran out of veg meals. Flight managed to land 30 minutes late at Sharjah and the baggage delivery was prompt as well. Overall experience was good.
903,"My group flew from Chicago to Delhi on 2/20 and from Delhi to Chicago 2/28. Absolutely the worst experience we have had on an airplane. We never saw the fight crew except when they served hot meals and a drink before the meal on a 14 hour flight. This was the only contact we had with the crew. We actually saw the crew sleeping during the flight instead of serving the customers. The crew never came around and offered drinks or snacks however drinks and peanuts and sandwiches were at the service stations and we basically served ourselves. Never have we seen or experienced such a thing. The entertainment was pretty good however many of us in our group had consoles that didn't work and remotes were not functioning either. The bathrooms ran out of paper and the cleanliness got worse as the flight continued. After 14 hours you can imagine the results of a lack of hand towels and toilet paper in an airplane. Basically there was no such thing as cleanliness. Let's talk about the seats. Where we sat was like a rock! The bottom was hard and the back you could actually feel the frame. Numbness was a way of life for 14 hours. Eventually we got creative and figured a way to make our seats ""comfortable"". Some used their pillows from home for their back others used the pillow and/or the blanket from the airline for cushioning. Basically these seats were the worst!"
904,LHR to MEL via DEL and return on deeply discounted ticket. Flight from New Delhi to Melbourne delayed in 1 hour increments with no final departure time given. Air India ground staff had no idea when the flight would eventually leave and weren't bothered about it either. After about 5 hours in an attempt to force Air India respond to the situation the other passengers began physically preventing the one remaining ground staff at the gate from leaving and then blockading the other Air India gates in the terminal to prevent boarding. By this tactic several other flights were delayed amid lots of shouting and chanting of slogans. Eventually a crew was taken off a Hong Kong flight to operate the one to Melbourne and we departed 9.5 hours late. The on-board service was mediocre and the IFE not fully functional on two flights. The seats folded into a horizontal flat bed (B787 aircraft) and were quite comfortable. Given the delay in New Delhi and the manner in which it was handled there is no way this airline can be recommended no matter what the ticket price.
905,"FRA-DEL/DEL-KAT/KAT-DEL-FRA - Were told at check-in in FRA that there was a delay of 1 hour but gate was closed at scheduled time! Waiting time of one full hour in FRA before taking off! No service or drinks for 4 hours during flight. Breakfast served last minute. Crew on all legs not really interested in customer and service. Dreamliner with lot of space and good fresh air full flat beds really comfortable. Food ok but cheese platter served after dessert. Champagne before taking off but no wine offered on return-flight. Flight to Kathmandu and back: time change and delayed return for 1.5 hrs. Service pathetic no smile the only question was ""veg or non veg"" without any ""please"". Air India has to improve service to get competitive."
906,Flew Chennai-Mumbai. Aircraft was an old A-319 still sporting the old Indian colors. Faded but clean interiors. Energetic cabin crew. Hot meal served on board. They ran out non-veg selection after a while and when queried by one of the passengers the answer given was that they had loaded more veg meals with the assumption that not many people would take non-veg on a Thu. Overall Air India is a cheap option to fly from point to point if one is not bothered about in-flight service and entertainment.
907,LHR to SYD via Delhi. Three legs in 687 and final leg in 777. Generally satisfactory but much room for improvement. Lie flat seats on all flights. Cabin crew good. All flights late on take off and landing which seems common with AI. Catering standards poor compared with competitors and lacks consistency. Overall flights satisfactory given the low price but AI need to improve to compare with better airlines.
908,LHR to Melbourne via Delhi. Flights were on time. Comfortable flat beds and attentive service especially on the Delhi to Melbourne leg (crew were a bit less energetic on the first leg). Food was fine. I liked the rather retro cocktail trolley before dinner. Air India is not up there with the very best and there are far fewer frills (no real amenity kit at all and food presentation isn't so polished). But the fare was also a lot less I had a flat bed all the way to Australia and the crew on the second leg were really trying hard and were very sweet. I have no complaints.
909,Chennai-Dubai and Dubai-Mumbai a couple of months ago. Old A-321 aircraft with faded seats and no inflight entertainment system. Surly cabin crew who had a feeling that they were doing a favor to passengers. On the Chennai-Dubai sector the passenger sitting in front of me asked for an extra can of beer during dinner only to be roughly ticked off by the cabin crew. The reason given was that they only serve one can of beer per passenger. I have flown hundreds of miles on various airlines but this is the first time that I am hearing such a ridiculous explanation. With this kind of flight experience it is no wonder that most of the traffic on the Gulf routes from India deviates towards the Middle Eastern carriers.
910,Flew AI 381 (787 Dreamliner) SIN - DEL on 25 Dec 14 the brand new dreamliner was excellent with flat bed seats crew were polite and attentive breakfast served on board was excellent. Air India should enhance their inflight entertainment system with more options of latest movies in it I would definitely recommend and use Air India again in future.
911,Flight 8763 27th December. Flew Munich-Delhi in December in a Dreamliner. Pleasantly surprised with the quality of AI. Very efficient staff and overall quality for money.
912,AI143 from CDG to DEL. Departure on time. 787 service with IFE in economy although with limited choice. Choice of 3 entrees (Fish Chicken Vegetarian). Nice and very efficient cabin crew. Overall a good night flight.
913,"Flew DEL-BOM-GOI-MAA-DEL on 4th and 8th January 2015. DEL-BOM-GOI was the best of the lot with great food and on- time performance. Return journey was pretty pathetic as our flight from GOI got delayed due to ""technical"" failures which the check-in personnel were reluctant to tell about. Missed our return connection from MAA in the morning but the airline was kind enough to rebook us in an evening flight and gave vouchers for lunch given by some cold faces in the airport. MAA-DEL was delayed due to weather in DEL. The only flipside in all the three journeys was the basic IFE and some tasteless food in GOI-MAA and MAA-DEL flights. Crews were decent and had served with smile though."
914,AI 675 Mumbai - Kolkata on 17th January 2015. The aircraft an A320 was in excellent condition. It was spotless and the seats were very clean and so was the entire cabin. The crew were excellent always smiling and helping the guests. The seats provided extreme comfort with ample leg space. The only suggestion that comes to my mind is AI should make sure that they change the menu because the last time I flew AI 675 in Nov' 2014 the same breakfast was served (Non Veg). The flight was extremely comfortable. The return leg was on 23rd January 2015 (AI 775). The flight was delayed by about 90 minutes however I have no complaints because AI kept informing me through regular calls and texts about the exact status. The aircraft used in this leg was an old A319. The seats were torn and in some cases even the back rest was not upto the mark. I don't understand if AI can use their 787s in other domestic routes why not in the BOM-CCU sector? If not then why can't the A319s be replaced with the A320s which provide much better comfort. This is just a suggestion as I love flying AI. I would also like to appreciate the fact that in spite of the flight being delayed by 0 minutes we were served dinner on board. The dinner was excellent. Last but not the least I'd like to request AI to please reintroduce the entertainment system for the domestic sectors also so that we can enjoy the flight even more.
915,AI607 Mumbai-Bangalore on January 3rd. Flight was delayed but not so much by Indian standards. Plane was very very old. It felt like going back in time with some seats requiring quick repair before take off. Flight was a little unpleasant also because of the strong turbulence and a bunch of young crying kids. FA's were a little rude at times but always available. One very good thing is that a proper meal is served in a flight that is just over an hour long. While not my favorite I would still use them for flights within India in the future.
